Publisher	Downloads
Elsevier	9296486
Springer-Verlag	2621956
Institute of Electrical and Electronics Engineers	2138064
American Chemical Society	1871934
Wiley Blackwell (John Wiley & Sons)	1367250
Nature Publishing Group	1121881
The Royal Society of Chemistry	927239
Informa UK (Taylor & Francis)	906221
Wiley Blackwell (Blackwell Publishing)	814996
SAGE Publications	377267
